zcta,stab,border_dyad,segment_id,S_i,dist_km,d_ic
25853,WV,MD-WV,MD-WV_173,0,233.57245455527624,-233.57245455527624
25911,WV,MD-WV,MD-WV_173,0,218.8762317349465,-218.8762317349465
25958,WV,MD-WV,MD-WV_173,0,172.3208640765975,-172.3208640765975
26033,WV,MD-WV,MD-WV_007,0,94.41587704006191,-94.41587704006191
26136,WV,MD-WV,MD-WV_173,0,142.07941578789686,-142.07941578789686
26184,WV,MD-WV,MD-WV_149,0,159.2412574370547,-159.2412574370547
26287,WV,MD-WV,MD-WV_173,0,17.98388288936102,-17.98388288936102
26343,WV,MD-WV,MD-WV_173,0,88.9930347739259,-88.9930347739259
26377,WV,MD-WV,MD-WV_084,0,98.67103541006917,-98.67103541006917
26386,WV,MD-WV,MD-WV_113,0,78.41110162973237,-78.41110162973237
26576,WV,MD-WV,MD-WV_084,0,65.92657815624065,-65.92657815624065
26619,WV,MD-WV,MD-WV_173,0,117.51756255752402,-117.51756255752402
26866,WV,MD-WV,MD-WV_174,0,48.416120315896805,-48.416120315896805
24714,WV,MD-WV,MD-WV_173,0,243.21677899616063,-243.21677899616063
24729,WV,MD-WV,MD-WV_173,0,249.1191767145629,-249.1191767145629
24733,WV,MD-WV,MD-WV_173,0,246.50100090806237,-246.50100090806237
24747,WV,MD-WV,MD-WV_173,0,252.21100605239448,-252.21100605239448
24861,WV,MD-WV,MD-WV_173,0,263.0624441512376,-263.0624441512376
26615,WV,MD-WV,MD-WV_173,0,114.66690140744628,-114.66690140744628
26707,WV,MD-WV,MD-WV_176,0,2.4882823849622397,-2.4882823849622397
26808,WV,MD-WV,MD-WV_476,0,35.97813490770087,-35.97813490770087
25667,WV,MD-WV,MD-WV_173,0,293.73763799261667,-293.73763799261667
24985,WV,MD-WV,MD-WV_173,0,207.9005890932252,-207.9005890932252
20135,WV,MD-WV,MD-WV_006,0,29.37136954722072,-29.37136954722072
24712,WV,MD-WV,MD-WV_173,0,235.62952741646376,-235.62952741646376
24737,WV,MD-WV,MD-WV_173,0,258.58891983720434,-258.58891983720434
24801,WV,MD-WV,MD-WV_173,0,264.5777188345563,-264.5777188345563
24845,WV,MD-WV,MD-WV_173,0,274.80999884817084,-274.80999884817084
24870,WV,MD-WV,MD-WV_173,0,241.48419717818783,-241.48419717818783
25008,WV,MD-WV,MD-WV_173,0,214.15737847833884,-214.15737847833884
25040,WV,MD-WV,MD-WV_173,0,193.11106834811412,-193.11106834811412
25140,WV,MD-WV,MD-WV_173,0,229.4377884214789,-229.4377884214789
25234,WV,MD-WV,MD-WV_173,0,147.1517747486152,-147.1517747486152
25315,WV,MD-WV,MD-WV_173,0,212.0385164661076,-212.0385164661076
25401,WV,MD-WV,MD-WV_656,0,11.354013198305111,-11.354013198305111
25430,WV,MD-WV,MD-WV_748,0,15.20329134751975,-15.20329134751975
25503,WV,MD-WV,MD-WV_173,0,235.6325508342231,-235.6325508342231
25511,WV,MD-WV,MD-WV_173,0,280.2882966793009,-280.2882966793009
25567,WV,MD-WV,MD-WV_173,0,233.3626149299912,-233.3626149299912
25635,WV,MD-WV,MD-WV_173,0,265.1001382027714,-265.1001382027714
25652,WV,MD-WV,MD-WV_173,0,272.5228733847569,-272.5228733847569
25705,WV,MD-WV,MD-WV_173,0,263.1281552259771,-263.1281552259771
25839,WV,MD-WV,MD-WV_173,0,228.7462423135776,-228.7462423135776
26234,WV,MD-WV,MD-WV_173,0,86.0154661633791,-86.0154661633791
26294,WV,MD-WV,MD-WV_173,0,88.25159739242393,-88.25159739242393
26321,WV,MD-WV,MD-WV_173,0,104.2028933676004,-104.2028933676004
26325,WV,MD-WV,MD-WV_173,0,120.07311591984542,-120.07311591984542
26562,WV,MD-WV,MD-WV_038,0,82.74622260796629,-82.74622260796629
26681,WV,MD-WV,MD-WV_173,0,152.4232639114499,-152.4232639114499
26764,WV,MD-WV,MD-WV_094,0,6.578935069493333,-6.578935069493333
26865,WV,MD-WV,MD-WV_474,0,36.678438320392125,-36.678438320392125
24604,WV,MD-WV,MD-WV_173,0,286.02575542187475,-286.02575542187475
24724,WV,MD-WV,MD-WV_173,0,262.7531564145248,-262.7531564145248
24827,WV,MD-WV,MD-WV_173,0,248.63875820416004,-248.63875820416004
24836,WV,MD-WV,MD-WV_173,0,272.63492389964495,-272.63492389964495
24866,WV,MD-WV,MD-WV_173,0,285.4708951522685,-285.4708951522685
24938,WV,MD-WV,MD-WV_173,0,162.9745870230247,-162.9745870230247
24963,WV,MD-WV,MD-WV_173,0,227.49565993242152,-227.49565993242152
25024,WV,MD-WV,MD-WV_173,0,218.6455394733135,-218.6455394733135
25081,WV,MD-WV,MD-WV_173,0,233.58792002476216,-233.58792002476216
25093,WV,MD-WV,MD-WV_173,0,232.14944931101647,-232.14944931101647
25113,WV,MD-WV,MD-WV_173,0,151.47891928684314,-151.47891928684314
25125,WV,MD-WV,MD-WV_173,0,177.4016148570232,-177.4016148570232
25159,WV,MD-WV,MD-WV_173,0,212.39739036464755,-212.39739036464755
25204,WV,MD-WV,MD-WV_173,0,233.40079708298404,-233.40079708298404
25267,WV,MD-WV,MD-WV_173,0,130.741746988495,-130.741746988495
25276,WV,MD-WV,MD-WV_173,0,165.10481719426326,-165.10481719426326
24868,WV,MD-WV,MD-WV_173,0,259.6260578769,-259.6260578769
24869,WV,MD-WV,MD-WV_173,0,273.55678894723195,-273.55678894723195
24916,WV,MD-WV,MD-WV_173,0,180.9552799176176,-180.9552799176176
24945,WV,MD-WV,MD-WV_173,0,213.5916212951635,-213.5916212951635
24970,WV,MD-WV,MD-WV_173,0,185.95819202457608,-185.95819202457608
25049,WV,MD-WV,MD-WV_173,0,217.1710830854566,-217.1710830854566
25085,WV,MD-WV,MD-WV_173,0,187.2071093329723,-187.2071093329723
25103,WV,MD-WV,MD-WV_173,0,199.59076778379315,-199.59076778379315
25205,WV,MD-WV,MD-WV_173,0,239.06544441079905,-239.06544441079905
25239,WV,MD-WV,MD-WV_173,0,205.7648628036788,-205.7648628036788
25303,WV,MD-WV,MD-WV_173,0,211.71395683175496,-211.71395683175496
25427,WV,MD-WV,MD-WV_575,0,11.038323241028044,-11.038323241028044
25446,WV,MD-WV,MD-WV_748,0,20.07599571690859,-20.07599571690859
25507,WV,MD-WV,MD-WV_173,0,278.72854962382337,-278.72854962382337
25637,WV,MD-WV,MD-WV_173,0,266.8656326806305,-266.8656326806305
25672,WV,MD-WV,MD-WV_173,0,291.1030646984711,-291.1030646984711
25844,WV,MD-WV,MD-WV_173,0,225.65927339683537,-225.65927339683537
25922,WV,MD-WV,MD-WV_173,0,239.3555516590626,-239.3555516590626
26150,WV,MD-WV,MD-WV_173,0,175.54847573265522,-175.54847573265522
26169,WV,MD-WV,MD-WV_173,0,179.11258432778305,-179.11258432778305
26224,WV,MD-WV,MD-WV_173,0,78.45977687924366,-78.45977687924366
26260,WV,MD-WV,MD-WV_173,0,13.70858755766588,-13.70858755766588
26410,WV,MD-WV,MD-WV_111,0,29.030304031824706,-29.030304031824706
26570,WV,MD-WV,MD-WV_035,0,64.34969228459667,-64.34969228459667
26588,WV,MD-WV,MD-WV_072,0,57.32796372083418,-57.32796372083418
25235,WV,MD-WV,MD-WV_173,0,150.1283824417423,-150.1283824417423
25302,WV,MD-WV,MD-WV_173,0,203.39140511502725,-203.39140511502725
25529,WV,MD-WV,MD-WV_173,0,233.3115179758767,-233.3115179758767
25625,WV,MD-WV,MD-WV_173,0,273.2700320911909,-273.2700320911909
25845,WV,MD-WV,MD-WV_173,0,242.88988718289733,-242.88988718289733
25871,WV,MD-WV,MD-WV_173,0,219.41205832958656,-219.41205832958656
25979,WV,MD-WV,MD-WV_173,0,226.60229626043056,-226.60229626043056
26075,WV,MD-WV,MD-WV_007,0,112.4525631851914,-112.4525631851914
26152,WV,MD-WV,MD-WV_173,0,148.3161385407514,-148.3161385407514
26208,WV,MD-WV,MD-WV_173,0,134.1258046561367,-134.1258046561367
26250,WV,MD-WV,MD-WV_173,0,45.34586082609185,-45.34586082609185
26273,WV,MD-WV,MD-WV_173,0,76.42113497233481,-76.42113497233481
26349,WV,MD-WV,MD-WV_167,0,53.39435324386682,-53.39435324386682
26416,WV,MD-WV,MD-WV_173,0,46.083152084817385,-46.083152084817385
26568,WV,MD-WV,MD-WV_104,0,67.71669340144592,-67.71669340144592
26582,WV,MD-WV,MD-WV_075,0,77.10013811390391,-77.10013811390391
26678,WV,MD-WV,MD-WV_173,0,169.0189694516918,-169.0189694516918
26722,WV,MD-WV,MD-WV_454,0,4.330813731951408,-4.330813731951408
26162,WV,MD-WV,MD-WV_072,0,109.37379576419806,-109.37379576419806
24715,WV,MD-WV,MD-WV_173,0,263.6332419930759,-263.6332419930759
24813,WV,MD-WV,MD-WV_173,0,283.5848177914088,-283.5848177914088
24823,WV,MD-WV,MD-WV_173,0,260.21611500901923,-260.21611500901923
24850,WV,MD-WV,MD-WV_173,0,291.7766488843961,-291.7766488843961
24871,WV,MD-WV,MD-WV_173,0,273.53935117949044,-273.53935117949044
24924,WV,MD-WV,MD-WV_173,0,127.16496402853495,-127.16496402853495
24935,WV,MD-WV,MD-WV_173,0,216.46328439463463,-216.46328439463463
24944,WV,MD-WV,MD-WV_173,0,93.56977633563147,-93.56977633563147
24966,WV,MD-WV,MD-WV_173,0,151.15370300468598,-151.15370300468598
24981,WV,MD-WV,MD-WV_173,0,206.9678568505677,-206.9678568505677
25123,WV,MD-WV,MD-WV_173,0,214.01543413960985,-214.01543413960985
25136,WV,MD-WV,MD-WV_173,0,196.78643826954112,-196.78643826954112
25164,WV,MD-WV,MD-WV_173,0,166.49587212626025,-166.49587212626025
25214,WV,MD-WV,MD-WV_173,0,211.2156255443256,-211.2156255443256
25251,WV,MD-WV,MD-WV_173,0,163.58933566217308,-163.58933566217308
25309,WV,MD-WV,MD-WV_173,0,219.62968325917424,-219.62968325917424
25434,WV,MD-WV,MD-WV_476,0,6.7468237576886345,-6.7468237576886345
25608,WV,MD-WV,MD-WV_173,0,276.93474642626444,-276.93474642626444
25644,WV,MD-WV,MD-WV_173,0,275.0409674221042,-275.0409674221042
25848,WV,MD-WV,MD-WV_173,0,237.04724221258175,-237.04724221258175
25864,WV,MD-WV,MD-WV_173,0,198.92944334918235,-198.92944334918235
26039,WV,MD-WV,MD-WV_007,0,101.84900860473368,-101.84900860473368
26137,WV,MD-WV,MD-WV_173,0,134.7998504641052,-134.7998504641052
26222,WV,MD-WV,MD-WV_173,0,97.43953598018366,-97.43953598018366
26236,WV,MD-WV,MD-WV_173,0,84.112089296583,-84.112089296583
26384,WV,MD-WV,MD-WV_173,0,108.6207713050385,-108.6207713050385
26419,WV,MD-WV,MD-WV_072,0,97.97580804620026,-97.97580804620026
26501,WV,MD-WV,MD-WV_042,0,47.82307127911171,-47.82307127911171
26501,WV,MD-WV,MD-WV_041,0,47.82307127911171,-47.82307127911171
26543,WV,MD-WV,MD-WV_033,0,44.64359994430136,-44.64359994430136
26761,WV,MD-WV,MD-WV_294,0,28.84976687104255,-28.84976687104255
26767,WV,MD-WV,MD-WV_384,0,0.5596265137041057,-0.5596265137041057
26847,WV,MD-WV,MD-WV_175,0,38.04943123131943,-38.04943123131943
26667,WV,MD-WV,MD-WV_173,0,169.4788466079333,-169.4788466079333
24736,WV,MD-WV,MD-WV_173,0,251.4884973647459,-251.4884973647459
24811,WV,MD-WV,MD-WV_173,0,281.28465970797527,-281.28465970797527
24815,WV,MD-WV,MD-WV_173,0,289.9549737878289,-289.9549737878289
24839,WV,MD-WV,MD-WV_173,0,268.25559916205384,-268.25559916205384
24888,WV,MD-WV,MD-WV_173,0,269.8091700723133,-269.8091700723133
24925,WV,MD-WV,MD-WV_173,0,182.75834927255192,-182.75834927255192
25019,WV,MD-WV,MD-WV_173,0,166.2993435516631,-166.2993435516631
25030,WV,MD-WV,MD-WV_173,0,171.88462570442974,-171.88462570442974
25114,WV,MD-WV,MD-WV_173,0,242.0725159070168,-242.0725159070168
25134,WV,MD-WV,MD-WV_173,0,209.8873089463247,-209.8873089463247
25187,WV,MD-WV,MD-WV_173,0,223.8895416882576,-223.8895416882576
25206,WV,MD-WV,MD-WV_173,0,236.1202622845161,-236.1202622845161
25252,WV,MD-WV,MD-WV_173,0,179.4549173045492,-179.4549173045492
25314,WV,MD-WV,MD-WV_173,0,212.61832103425124,-212.61832103425124
25420,WV,MD-WV,MD-WV_656,0,26.479727503474987,-26.479727503474987
25508,WV,MD-WV,MD-WV_173,0,258.696300283774,-258.696300283774
25534,WV,MD-WV,MD-WV_173,0,271.6745789872552,-271.6745789872552
25611,WV,MD-WV,MD-WV_173,0,267.57542114719,-267.57542114719
25647,WV,MD-WV,MD-WV_173,0,268.31627045825985,-268.31627045825985
25812,WV,MD-WV,MD-WV_173,0,184.2650321899452,-184.2650321899452
25813,WV,MD-WV,MD-WV_173,0,211.787830473384,-211.787830473384
25843,WV,MD-WV,MD-WV_173,0,228.0737788014571,-228.0737788014571
25901,WV,MD-WV,MD-WV_173,0,199.8721406272784,-199.8721406272784
25908,WV,MD-WV,MD-WV_173,0,229.80538950572387,-229.80538950572387
