zcta,stab,border_dyad,S_i,dist_km,d_ic
26150,WV,MD-WV,0,175.54847573265522,-175.54847573265522
26169,WV,MD-WV,0,179.11258432778303,-179.11258432778303
26224,WV,MD-WV,0,78.45977687924366,-78.45977687924366
26260,WV,MD-WV,0,13.70858755766588,-13.70858755766588
26410,WV,MD-WV,0,29.030304031824702,-29.030304031824702
26570,WV,MD-WV,0,64.34969228459667,-64.34969228459667
26588,WV,MD-WV,0,57.327963720834184,-57.327963720834184
25235,WV,MD-WV,0,150.1283824417423,-150.1283824417423
25302,WV,MD-WV,0,203.39140511502723,-203.39140511502723
25529,WV,MD-WV,0,233.3115179758767,-233.3115179758767
25625,WV,MD-WV,0,273.2700320911909,-273.2700320911909
25845,WV,MD-WV,0,242.88988718289733,-242.88988718289733
25871,WV,MD-WV,0,219.41205832958659,-219.41205832958659
25979,WV,MD-WV,0,226.60229626043056,-226.60229626043056
26075,WV,MD-WV,0,112.45256318519141,-112.45256318519141
26152,WV,MD-WV,0,148.3161385407514,-148.3161385407514
26208,WV,MD-WV,0,134.12580465613667,-134.12580465613667
26250,WV,MD-WV,0,45.34586082609185,-45.34586082609185
26273,WV,MD-WV,0,76.42113497233481,-76.42113497233481
26349,WV,MD-WV,0,53.39435324386682,-53.39435324386682
26416,WV,MD-WV,0,46.083152084817385,-46.083152084817385
26568,WV,MD-WV,0,67.71669340144592,-67.71669340144592
26582,WV,MD-WV,0,77.10013811390391,-77.10013811390391
26678,WV,MD-WV,0,169.0189694516918,-169.0189694516918
26722,WV,MD-WV,0,4.330813731951408,-4.330813731951408
26162,WV,MD-WV,0,109.37379576419806,-109.37379576419806
24715,WV,MD-WV,0,263.6332419930759,-263.6332419930759
24813,WV,MD-WV,0,283.5848177914088,-283.5848177914088
24823,WV,MD-WV,0,260.21611500901923,-260.21611500901923
24850,WV,MD-WV,0,291.7766488843961,-291.7766488843961
24871,WV,MD-WV,0,273.53935117949044,-273.53935117949044
24924,WV,MD-WV,0,127.16496402853495,-127.16496402853495
24935,WV,MD-WV,0,216.46328439463463,-216.46328439463463
24944,WV,MD-WV,0,93.56977633563149,-93.56977633563149
24966,WV,MD-WV,0,151.15370300468598,-151.15370300468598
24981,WV,MD-WV,0,206.9678568505677,-206.9678568505677
25123,WV,MD-WV,0,214.01543413960985,-214.01543413960985
25136,WV,MD-WV,0,196.78643826954112,-196.78643826954112
25164,WV,MD-WV,0,166.49587212626025,-166.49587212626025
25214,WV,MD-WV,0,211.21562554432558,-211.21562554432558
25251,WV,MD-WV,0,163.58933566217308,-163.58933566217308
25309,WV,MD-WV,0,219.62968325917424,-219.62968325917424
25434,WV,MD-WV,0,6.7468237576886345,-6.7468237576886345
25608,WV,MD-WV,0,276.93474642626444,-276.93474642626444
25644,WV,MD-WV,0,275.0409674221042,-275.0409674221042
25848,WV,MD-WV,0,237.04724221258178,-237.04724221258178
25864,WV,MD-WV,0,198.92944334918235,-198.92944334918235
26039,WV,MD-WV,0,101.84900860473368,-101.84900860473368
26137,WV,MD-WV,0,134.7998504641052,-134.7998504641052
26222,WV,MD-WV,0,97.43953598018366,-97.43953598018366
26236,WV,MD-WV,0,84.112089296583,-84.112089296583
26384,WV,MD-WV,0,108.6207713050385,-108.6207713050385
26419,WV,MD-WV,0,97.97580804620026,-97.97580804620026
26501,WV,MD-WV,0,47.82307127911171,-47.82307127911171
26543,WV,MD-WV,0,44.643599944301364,-44.643599944301364
26761,WV,MD-WV,0,28.84976687104255,-28.84976687104255
26767,WV,MD-WV,0,0.5596265137041057,-0.5596265137041057
26847,WV,MD-WV,0,38.04943123131943,-38.04943123131943
26667,WV,MD-WV,0,169.4788466079333,-169.4788466079333
24736,WV,MD-WV,0,251.4884973647459,-251.4884973647459
24811,WV,MD-WV,0,281.28465970797527,-281.28465970797527
24815,WV,MD-WV,0,289.9549737878289,-289.9549737878289
24839,WV,MD-WV,0,268.25559916205384,-268.25559916205384
24888,WV,MD-WV,0,269.8091700723133,-269.8091700723133
24925,WV,MD-WV,0,182.75834927255192,-182.75834927255192
25019,WV,MD-WV,0,166.2993435516631,-166.2993435516631
25030,WV,MD-WV,0,171.88462570442974,-171.88462570442974
25114,WV,MD-WV,0,242.0725159070168,-242.0725159070168
25134,WV,MD-WV,0,209.8873089463247,-209.8873089463247
25187,WV,MD-WV,0,223.8895416882576,-223.8895416882576
25206,WV,MD-WV,0,236.1202622845161,-236.1202622845161
25252,WV,MD-WV,0,179.4549173045492,-179.4549173045492
25314,WV,MD-WV,0,212.61832103425124,-212.61832103425124
25420,WV,MD-WV,0,26.479727503474987,-26.479727503474987
25508,WV,MD-WV,0,258.696300283774,-258.696300283774
25534,WV,MD-WV,0,271.6745789872552,-271.6745789872552
25611,WV,MD-WV,0,267.57542114718996,-267.57542114718996
25647,WV,MD-WV,0,268.31627045825985,-268.31627045825985
25812,WV,MD-WV,0,184.2650321899452,-184.2650321899452
25813,WV,MD-WV,0,211.787830473384,-211.787830473384
25843,WV,MD-WV,0,228.0737788014571,-228.0737788014571
25901,WV,MD-WV,0,199.8721406272784,-199.8721406272784
25908,WV,MD-WV,0,229.80538950572387,-229.80538950572387
25928,WV,MD-WV,0,244.9308574460357,-244.9308574460357
25972,WV,MD-WV,0,168.97704499467378,-168.97704499467378
25989,WV,MD-WV,0,217.87437542643434,-217.87437542643434
26062,WV,MD-WV,0,120.71602263215583,-120.71602263215583
26143,WV,MD-WV,0,162.6069474434185,-162.6069474434185
26218,WV,MD-WV,0,78.25650411674117,-78.25650411674117
26301,WV,MD-WV,0,76.04679812599458,-76.04679812599458
26342,WV,MD-WV,0,118.26744771338282,-118.26744771338282
26376,WV,MD-WV,0,97.0739937438755,-97.0739937438755
26437,WV,MD-WV,0,88.30868608530395,-88.30868608530395
26537,WV,MD-WV,0,19.515832960813064,-19.515832960813064
26585,WV,MD-WV,0,80.44789975931445,-80.44789975931445
26720,WV,MD-WV,0,1.425558920689249,-1.425558920689249
26739,WV,MD-WV,0,9.69414999436795,-9.69414999436795
26845,WV,MD-WV,0,30.08908484080313,-30.08908484080313
26884,WV,MD-WV,0,40.75036959275495,-40.75036959275495
26289,WV,MD-WV,0,24.04475112788301,-24.04475112788301
24738,WV,MD-WV,0,265.9383354965734,-265.9383354965734
24740,WV,MD-WV,0,245.6592715608583,-245.6592715608583
24816,WV,MD-WV,0,274.07637733111403,-274.07637733111403
24828,WV,MD-WV,0,267.95317447406654,-267.95317447406654
24854,WV,MD-WV,0,244.29668399486903,-244.29668399486903
24879,WV,MD-WV,0,289.6630427833853,-289.6630427833853
24892,WV,MD-WV,0,285.5121892812093,-285.5121892812093
24849,WV,MD-WV,0,248.08285412524785,-248.08285412524785
25666,WV,MD-WV,0,281.917109931028,-281.917109931028
25670,WV,MD-WV,0,283.2861516718338,-283.2861516718338
25676,WV,MD-WV,0,282.964471461636,-282.964471461636
24851,WV,MD-WV,0,271.6544896147554,-271.6544896147554
25646,WV,MD-WV,0,258.6840143132305,-258.6840143132305
25649,WV,MD-WV,0,269.58983123284105,-269.58983123284105
25650,WV,MD-WV,0,262.0669426451759,-262.0669426451759
25654,WV,MD-WV,0,259.3118118843862,-259.3118118843862
25156,WV,MD-WV,0,193.35039335711255,-193.35039335711255
25160,WV,MD-WV,0,184.35070656608363,-184.35070656608363
25161,WV,MD-WV,0,203.51025613619933,-203.51025613619933
25624,WV,MD-WV,0,259.41812422355906,-259.41812422355906
25628,WV,MD-WV,0,261.1132458548027,-261.1132458548027
25632,WV,MD-WV,0,266.39621175624603,-266.39621175624603
25638,WV,MD-WV,0,275.58722829855236,-275.58722829855236
25015,WV,MD-WV,0,203.664208434493,-203.664208434493
25021,WV,MD-WV,0,238.53397633117385,-238.53397633117385
25162,WV,MD-WV,0,198.10533998973582,-198.10533998973582
25165,WV,MD-WV,0,221.09394343078634,-221.09394343078634
25169,WV,MD-WV,0,230.4021916691883,-230.4021916691883
25173,WV,MD-WV,0,195.8713359578979,-195.8713359578979
25260,WV,MD-WV,0,218.43518737329245,-218.43518737329245
25262,WV,MD-WV,0,203.83438291478208,-203.83438291478208
25180,WV,MD-WV,0,231.23306888531306,-231.23306888531306
25202,WV,MD-WV,0,226.8497068826618,-226.8497068826618
24873,WV,MD-WV,0,292.75036859187094,-292.75036859187094
24830,WV,MD-WV,0,276.0911943292194,-276.0911943292194
24831,WV,MD-WV,0,264.7583268116313,-264.7583268116313
24834,WV,MD-WV,0,264.8003213719857,-264.8003213719857
24843,WV,MD-WV,0,272.5191325234683,-272.5191325234683
25028,WV,MD-WV,0,238.62311491606394,-238.62311491606394
25241,WV,MD-WV,0,204.69566336846142,-204.69566336846142
25265,WV,MD-WV,0,214.5646011041693,-214.5646011041693
25174,WV,MD-WV,0,224.50118950507843,-224.50118950507843
24846,WV,MD-WV,0,280.6407946283726,-280.6407946283726
24847,WV,MD-WV,0,247.56528450666642,-247.56528450666642
24848,WV,MD-WV,0,273.8183785746912,-273.8183785746912
24853,WV,MD-WV,0,265.63079353898104,-265.63079353898104
24860,WV,MD-WV,0,251.28575463652325,-251.28575463652325
25033,WV,MD-WV,0,219.81977850951372,-219.81977850951372
25177,WV,MD-WV,0,223.93951296542627,-223.93951296542627
25181,WV,MD-WV,0,226.0597941136741,-226.0597941136741
25183,WV,MD-WV,0,246.90249120741507,-246.90249120741507
25422,WV,MD-WV,0,4.231087501248262,-4.231087501248262
25425,WV,MD-WV,0,7.159592140202207,-7.159592140202207
24862,WV,MD-WV,0,287.9032027751035,-287.9032027751035
24867,WV,MD-WV,0,247.2488100933293,-247.2488100933293
24874,WV,MD-WV,0,252.13371280876663,-252.13371280876663
24880,WV,MD-WV,0,248.61758466634072,-248.61758466634072
25035,WV,MD-WV,0,210.87360020793196,-210.87360020793196
25039,WV,MD-WV,0,194.26091820293504,-194.26091820293504
25043,WV,MD-WV,0,155.1175124644819,-155.1175124644819
25186,WV,MD-WV,0,194.44073780871204,-194.44073780871204
25442,WV,MD-WV,0,6.778686162081419,-6.778686162081419
25444,WV,MD-WV,0,9.426478741693034,-9.426478741693034
25502,WV,MD-WV,0,233.2938306184875,-233.2938306184875
25506,WV,MD-WV,0,258.0499194444467,-258.0499194444467
25501,WV,MD-WV,0,242.89346439593402,-242.89346439593402
24881,WV,MD-WV,0,274.42012349591556,-274.42012349591556
24882,WV,MD-WV,0,264.8540433048149,-264.8540433048149
24887,WV,MD-WV,0,262.7825614136414,-262.7825614136414
24898,WV,MD-WV,0,256.0074176192504,-256.0074176192504
24901,WV,MD-WV,0,174.04619913223593,-174.04619913223593
25044,WV,MD-WV,0,214.76006529437967,-214.76006529437967
25047,WV,MD-WV,0,243.3337345106899,-243.3337345106899
25193,WV,MD-WV,0,222.39788355331754,-222.39788355331754
25201,WV,MD-WV,0,197.07613958074577,-197.07613958074577
25203,WV,MD-WV,0,245.55123100743154,-245.55123100743154
25411,WV,MD-WV,0,8.18457015959533,-8.18457015959533
25413,WV,MD-WV,0,25.087598746529167,-25.087598746529167
25051,WV,MD-WV,0,224.588411279007,-224.588411279007
25057,WV,MD-WV,0,194.75938164547347,-194.75938164547347
25059,WV,MD-WV,0,183.11474064133213,-183.11474064133213
25060,WV,MD-WV,0,220.3096971909701,-220.3096971909701
25061,WV,MD-WV,0,203.66371892735827,-203.66371892735827
25208,WV,MD-WV,0,240.62647781631895,-240.62647781631895
25209,WV,MD-WV,0,224.62028464570562,-224.62028464570562
25211,WV,MD-WV,0,145.97728862462628,-145.97728862462628
25213,WV,MD-WV,0,223.16075878218845,-223.16075878218845
25414,WV,MD-WV,0,13.353341032814154,-13.353341032814154
25419,WV,MD-WV,0,1.6485060251760653,-1.6485060251760653
25062,WV,MD-WV,0,225.37247760417247,-225.37247760417247
25063,WV,MD-WV,0,142.28146926839412,-142.28146926839412
25245,WV,MD-WV,0,201.55119083514353,-201.55119083514353
25247,WV,MD-WV,0,215.67888341203917,-215.67888341203917
24918,WV,MD-WV,0,218.70643762369698,-218.70643762369698
25064,WV,MD-WV,0,215.6081617778426,-215.6081617778426
25070,WV,MD-WV,0,222.73875107392777,-222.73875107392777
25075,WV,MD-WV,0,211.57579786665858,-211.57579786665858
25253,WV,MD-WV,0,215.00757513504593,-215.00757513504593
25259,WV,MD-WV,0,162.5561214265819,-162.5561214265819
25264,WV,MD-WV,0,210.2458716513568,-210.2458716513568
25266,WV,MD-WV,0,158.7855193800491,-158.7855193800491
25268,WV,MD-WV,0,148.551937272385,-148.551937272385
25270,WV,MD-WV,0,170.86850159357786,-170.86850159357786
25428,WV,MD-WV,0,20.38543324322078,-20.38543324322078
25133,WV,MD-WV,0,162.18060964914963,-162.18060964914963
25143,WV,MD-WV,0,219.50104545125075,-219.50104545125075
25149,WV,MD-WV,0,242.0725550191809,-242.0725550191809
25152,WV,MD-WV,0,199.76121009779934,-199.76121009779934
25154,WV,MD-WV,0,226.72259381947492,-226.72259381947492
25082,WV,MD-WV,0,228.402480994708,-228.402480994708
25076,WV,MD-WV,0,259.2473052090816,-259.2473052090816
25107,WV,MD-WV,0,216.00190855219523,-216.00190855219523
25110,WV,MD-WV,0,193.6206894452123,-193.6206894452123
25168,WV,MD-WV,0,217.65871699591398,-217.65871699591398
25106,WV,MD-WV,0,227.87559149743907,-227.87559149743907
25111,WV,MD-WV,0,170.68758085720842,-170.68758085720842
25271,WV,MD-WV,0,194.42542037909428,-194.42542037909428
25285,WV,MD-WV,0,158.04931297034017,-158.04931297034017
25431,WV,MD-WV,0,3.6884378651773875,-3.6884378651773875
24910,WV,MD-WV,0,193.28165387280768,-193.28165387280768
24915,WV,MD-WV,0,86.44582275794967,-86.44582275794967
24920,WV,MD-WV,0,71.82805344278935,-71.82805344278935
25071,WV,MD-WV,0,188.876492153656,-188.876492153656
25083,WV,MD-WV,0,205.86873980407597,-205.86873980407597
25086,WV,MD-WV,0,199.74087875048284,-199.74087875048284
25088,WV,MD-WV,0,175.2102474197979,-175.2102474197979
25403,WV,MD-WV,0,12.42262081726609,-12.42262081726609
25275,WV,MD-WV,0,185.29577879511166,-185.29577879511166
25286,WV,MD-WV,0,176.7181674389303,-176.7181674389303
25432,WV,MD-WV,0,5.0653177366388125,-5.0653177366388125
25437,WV,MD-WV,0,10.888825185201393,-10.888825185201393
25438,WV,MD-WV,0,9.169310984010293,-9.169310984010293
25443,WV,MD-WV,0,0.9744805459738722,-0.9744805459738722
24927,WV,MD-WV,0,100.28136501545595,-100.28136501545595
24931,WV,MD-WV,0,173.4076551860602,-173.4076551860602
24934,WV,MD-WV,0,104.37561627352335,-104.37561627352335
25090,WV,MD-WV,0,189.94613294360698,-189.94613294360698
25102,WV,MD-WV,0,198.43576474431242,-198.43576474431242
25108,WV,MD-WV,0,248.4259420346707,-248.4259420346707
25109,WV,MD-WV,0,217.59998315329597,-217.59998315329597
25287,WV,MD-WV,0,221.22454021613643,-221.22454021613643
25504,WV,MD-WV,0,256.7694237123378,-256.7694237123378
25505,WV,MD-WV,0,256.5568440207218,-256.5568440207218
25510,WV,MD-WV,0,240.0754662134083,-240.0754662134083
25512,WV,MD-WV,0,269.97869000305565,-269.97869000305565
24946,WV,MD-WV,0,133.30470140807904,-133.30470140807904
24951,WV,MD-WV,0,216.96887470816523,-216.96887470816523
24954,WV,MD-WV,0,120.59086837606755,-120.59086837606755
24962,WV,MD-WV,0,203.43330308678546,-203.43330308678546
25112,WV,MD-WV,0,216.82497490332574,-216.82497490332574
25119,WV,MD-WV,0,202.59851898222118,-202.59851898222118
25121,WV,MD-WV,0,252.2652814305315,-252.2652814305315
25124,WV,MD-WV,0,206.44652866931347,-206.44652866931347
25301,WV,MD-WV,0,207.64764184162158,-207.64764184162158
25514,WV,MD-WV,0,290.0372345200421,-290.0372345200421
25515,WV,MD-WV,0,234.23803381266453,-234.23803381266453
25517,WV,MD-WV,0,283.7151789656319,-283.7151789656319
25520,WV,MD-WV,0,242.49505577421257,-242.49505577421257
25545,WV,MD-WV,0,249.89129676288607,-249.89129676288607
25601,WV,MD-WV,0,264.29833888320474,-264.29833888320474
25621,WV,MD-WV,0,273.0596811826979,-273.0596811826979
25630,WV,MD-WV,0,246.65307404498768,-246.65307404498768
25651,WV,MD-WV,0,282.08487621725595,-282.08487621725595
25674,WV,MD-WV,0,288.7059043946481,-288.7059043946481
25537,WV,MD-WV,0,250.7280614654723,-250.7280614654723
24974,WV,MD-WV,0,192.73872442680948,-192.73872442680948
24976,WV,MD-WV,0,194.539480189026,-194.539480189026
24977,WV,MD-WV,0,177.98310090218195,-177.98310090218195
24983,WV,MD-WV,0,201.67523950214942,-201.67523950214942
25304,WV,MD-WV,0,207.32641401251857,-207.32641401251857
25305,WV,MD-WV,0,207.31396171157937,-207.31396171157937
25311,WV,MD-WV,0,201.37934427129917,-201.37934427129917
25607,WV,MD-WV,0,253.8308191154097,-253.8308191154097
25634,WV,MD-WV,0,261.11216064104667,-261.11216064104667
25524,WV,MD-WV,0,263.34417172216587,-263.34417172216587
25678,WV,MD-WV,0,288.0431830706188,-288.0431830706188
24984,WV,MD-WV,0,208.5749688739093,-208.5749688739093
25036,WV,MD-WV,0,190.71472249289806,-190.71472249289806
25067,WV,MD-WV,0,201.94726310409675,-201.94726310409675
25025,WV,MD-WV,0,193.98917783525624,-193.98917783525624
25053,WV,MD-WV,0,243.56709979296676,-243.56709979296676
25054,WV,MD-WV,0,208.31793713579884,-208.31793713579884
25130,WV,MD-WV,0,235.34012634588447,-235.34012634588447
25139,WV,MD-WV,0,197.90889185139636,-197.90889185139636
