stabbr,year,weighted_in_state,weighted_out_of_state,inst_count,total_in_state_enr,total_out_state_enr
HI,2020,6147.310719131615,26813.756457564577,10,4422,1084
IA,2020,6495.757070774133,20388.321008663366,19,15062,6464
ID,2020,5712.738550010269,20624.937559129612,8,4869,2114
IL,2020,11093.309675967597,27033.037088873338,60,22220,2858
IN,2020,7708.6194268514455,28970.776994316984,16,31894,9502
KS,2020,6051.807071880243,16190.087991927347,33,15498,4955
KY,2020,7916.2112952951165,24676.673783843275,24,22381,4543
LA,2020,5248.224556935159,9758.29618516931,30,28269,2333
MA,2020,6556.576215812564,26330.91635916359,29,21426,3252
MD,2020,7324.603384636813,24751.347899159664,29,14359,4760
ME,2020,6108.141081294396,24341.355708908406,15,5068,1594
MH,2020,3500,3720,1,291,1
MI,2020,12697.866045266243,37767.84983853606,47,39588,7432
MN,2020,7901.793649341142,22476.76656661279,43,21856,4331
MO,2020,6655.792731648616,18517.187586206896,29,20775,4350
MP,2020,3078,4560,1,294,3
MS,2020,5716.464107431625,20025.14003779131,23,14223,4763
MT,2020,4832.425634824667,22689.317545748116,18,4135,1858
NC,2020,3656.013269023764,19113.70380868025,75,48308,5645
ND,2020,5923.794042769858,12041.141931302656,14,3928,3086
NE,2020,5409.775485881922,17909.819581017528,16,10908,2339
NH,2020,10927.20306311064,27337.270635994588,12,3787,2956
NJ,2020,11346.562612577336,23770.146105263157,32,25538,2375
NM,2020,4426.238913135295,15519.74817898023,28,7103,1922
NV,2020,5495.677906438166,21221.55117270789,7,10795,1876
NY,2020,6131.298620989643,16713.534574898786,81,85061,6175
OH,2020,8351.893062187084,22460.65747613998,61,51731,9430
OK,2020,4560.0724605467885,17387.268340186107,29,17996,4621
OR,2020,7167.147885602542,28171.41668555883,26,12273,4411
PA,2020,12371.469323516858,28981.176188399477,38,37488,11465
PR,2020,3653.5958110516935,6231.818181818182,19,8976,22
PW,2020,2640,NA,1,103,0
RI,2020,7226.5538881309685,28860.419576719578,3,4398,1890
SC,2020,10119.342225815144,21756.180571428573,33,18555,5250
SD,2020,5953.655134176092,11192.016321129246,13,4509,2267
TN,2020,6213.525863746282,22964.359095193213,23,35977,3183
TX,2020,6378.3868952697285,17961.07693377852,106,105977,7188
UT,2020,5451.626361316821,20075.416115453998,8,16069,4989
VA,2020,9798.85531388152,31165.647221523763,40,28275,7954
VI,2020,4631,13892,1,278,16
VT,2020,13030.1776504298,38757.8997451147,5,1396,2354
WA,2020,7814.251817777118,29312.90441033612,43,20217,5147
WI,2020,7144.738176211853,23777.671144341653,32,22053,7891
WV,2020,6541.468412438625,21856.276432368577,23,9165,3386
WY,2020,3148.191957104558,11555.898368883312,8,1865,1594
AK,2021,7228.50867823765,23204.791666666668,4,1498,168
AL,2021,6995.47173036166,25931.10388631715,38,29254,9289
AR,2021,5136.520194844733,18684.58573388203,35,14781,3645
AS,2021,3300,NA,1,232,0
AZ,2021,9534.961886341658,26995.816235413495,26,17579,9855
CA,2021,4211.692872264033,24524.376132930513,148,214458,21184
CO,2021,7650.243526318135,28309.271011793917,29,22437,8055
CT,2021,7839.54297725396,32007.669074195666,22,13321,1523
DC,2021,5292,12144,1,233,112
DE,2021,8644.59130219916,30727.646920821113,3,4047,3410
FL,2021,3096.9933344832684,15479.468118869014,44,81164,6932
FM,2021,4050,NA,1,571,0
GA,2021,4763.176428396157,21256.8467951093,51,52979,5398
GU,2021,5040,7392,2,376,15
HI,2021,5983.204027811076,26481.03406113537,10,4171,1145
IA,2021,6491.102343030144,20582.521739130436,19,15194,6164
ID,2021,5747.249485384932,21191.17936802974,8,4858,2152
IL,2021,11206.471767904095,28097.71119973413,60,22439,3009
IN,2021,7897.160545414559,29984.25067038507,16,31829,9323
KS,2021,5952.95666688923,16007.078380534504,33,14977,5014
KY,2021,8031.881431244154,23956.945601617797,24,21380,4945
LA,2021,5298.772109093582,9429.098055790364,30,27206,2366
MA,2021,6869.7723028105165,26677.7552491382,29,22060,3191
MD,2021,7321.9767324592995,22980.919792403867,29,13882,4239
ME,2021,6254.881362418676,24142.647907647908,15,5226,1386
MH,2021,3500,NA,1,235,0
MI,2021,12817.23651463017,38832.826516220026,47,38653,7799
MN,2021,7982.361685102377,23027.56934991786,43,21245,4261
MO,2021,6906.513426206339,19208.401002506267,29,19812,4389
MP,2021,3078,4560,1,261,2
MS,2021,5681.31195465732,19976.862203023757,23,13409,4630
MT,2021,4843.557623661397,23528.51026392962,18,3922,2046
NC,2021,3659.4668990993237,19099.944769085767,75,48186,5305
ND,2021,6239.337141406449,11704.2822191592,14,3939,2902
NE,2021,5502.593239022598,18488.910822108686,16,10886,2153
NH,2021,10740.207656293032,28241.248024087316,12,3631,2657
NJ,2021,11387.297610396272,21914.601433296582,32,23393,1814
NM,2021,4529.279571428571,15523.591135734072,28,7000,1805
NV,2021,5755.457314381566,22123.19536423841,7,11327,1812
NY,2021,6161.609320838613,17332.839224629417,81,83662,6139
OH,2021,8602.76896687697,23348.141483666557,61,50720,9153
OK,2021,4496.02237223834,17407.71099852227,29,17924,4737
OR,2021,7439.123651585896,30350.87272318417,26,12422,4447
PA,2021,11781.656704340086,23914.34985219962,38,37073,11502
PR,2021,3894.136492890995,5962,19,9495,15
PW,2021,3000,3240,1,109,2
RI,2021,7528.658733443709,29888.039978958444,3,4832,1901
SC,2021,10791.489824058242,28905.674986816663,33,18131,5689
SD,2021,6349.883577765707,11161.410743801653,13,5523,1210
TN,2021,6311.410865284374,23128.70474777448,23,34532,3370
TX,2021,6824.849825751154,15732.268518518518,100,106170,7452
UT,2021,5514.909914320686,20483.374301675976,8,16340,5012
VA,2021,9947.90407896547,31348.949516395376,39,29076,8478
VI,2021,4631,13892,1,322,18
VT,2021,13347.565819861431,39307.614716825134,5,1299,2419
WA,2021,7944.02821425042,29471.79230299328,42,20238,4911
WI,2021,7045.408321454027,25166.291786743517,32,22448,8328
WV,2021,6558.168119415995,22184.88304260795,23,9178,3497
WY,2021,3173.863938053097,12058.725048293625,8,1808,1553
AK,2022,7228.549916805325,23052.671140939598,4,1202,149
AL,2022,7308.758623408366,26185.199211959673,38,25367,8629
AR,2022,5317.458277052378,19801.552417006405,35,13326,3434
AS,2022,4500,NA,1,244,0
AZ,2022,9708.365413900225,27160.724353474692,25,16417,8159
CA,2022,4586.98828666702,28262.588031778574,148,188930,15608
CO,2022,7882.26632885736,29382.329565472694,29,19735,6812
CT,2022,8103.281556349267,35139.74575278266,22,13159,1707
DC,2022,5292,12144,1,151,77
DE,2022,8665.464180305877,31110.52023121387,3,3727,3114
FL,2022,3192.150090490861,15735.706896551725,44,72383,6090
FM,2022,4050,NA,1,504,0
GA,2022,5001.850332615737,21203.37199776578,51,51561,5371
GU,2022,5304,6116.571428571428,2,404,7
HI,2022,6364.995746810107,28886.384937238494,10,3997,956
IA,2022,6603.931842235236,20820.190407760016,19,14173,5567
ID,2022,5764.928199320499,21175.093663911844,8,4415,2178
IL,2022,11216.309718354863,28678.48627881449,60,21907,2733
IN,2022,8219.80372001958,30174.51445148813,16,28602,9307
KS,2022,6076.824693194496,16696.434691501745,33,13445,4295
KY,2022,8389.404816572274,24147.43581715717,24,19599,4791
LA,2022,5375.538925997207,9098.944894026976,30,26499,2595
MA,2022,7213.009360945508,27135.48597122302,29,19122,2780
MD,2022,7678.5933270380865,23302.80356687898,29,12708,3925
ME,2022,7170.21359223301,27271.977503628448,14,4326,1378
MH,2022,3500,3720,1,285,2
MI,2022,13377.149798370041,40887.99769982749,47,35461,6956
MN,2022,8472.512636877887,24032.612400822803,44,19269,3403
MO,2022,7317.301638648778,20439.064066852367,29,18857,3949
MP,2022,3078,4560,1,248,4
MS,2022,5728.835121307146,19797.218365553603,23,12118,4552
MT,2022,4895.731623931624,24188.46546883773,18,3510,1781
NC,2022,3807.5490505244397,19306.487497649934,75,43761,5319
ND,2022,6591.63753544728,12195.791146019279,14,3879,2801
NE,2022,5633.226263928538,18518.213089005236,16,10859,1910
NH,2022,11294.74292819397,28797.928685897437,12,3217,2496
NJ,2022,11864.699613329278,24628.442211055277,32,23017,2189
NM,2022,4957.079412250289,17800.592529711375,28,6057,1767
NV,2022,6073.037562765547,22669.936904761904,7,10356,1680
NY,2022,6257.523201917954,15987.814984429382,81,75080,5459
OH,2022,8939.440317168564,22619.21480047327,61,46789,9297
OK,2022,4645.165771385664,17750.077712289894,29,17313,4581
OR,2022,7692.337110232763,30700.76907269458,26,11385,3893
PA,2022,12063.600264687266,24889.59798550981,38,34758,11318
PR,2022,4605.474626214122,NA,19,9163,0
PW,2022,3120,3360,1,115,6
RI,2022,7858.329358830146,30339.770136599152,3,4445,2123
SC,2022,11019.855835777125,30500.237441272136,33,17050,5534
SD,2022,6489.519850885368,11287.477744807122,13,5365,1011
TN,2022,6612.851028491121,22277.40162601626,23,31308,3690
TX,2022,7133.090014962593,18103.488194444446,100,100250,5760
UT,2022,5957.908714429391,21249.654874213837,8,16903,5088
VA,2022,10149.685982887151,30394.08503937008,39,27231,7620
VI,2022,4631,13892,1,242,17
VT,2022,13778.56419868791,39417.067400275104,5,1067,2181
WA,2022,8389.700940368264,30845.44152906582,42,17759,4421
WI,2022,7073.837340202252,25114.26538262668,32,20964,7736
WV,2022,6674.6776504297995,22670.212561791217,22,8376,3439
WY,2022,3323.7089820359283,12364.526408450703,8,1670,1136
AK,2023,6815.532215357458,22153.476439790575,4,1133,191
AL,2023,7509.701901975128,27309.03059172224,38,27340,9447
AR,2023,5582.888,21226.83746097815,35,13000,4805
AS,2023,4500,NA,1,270,0
AZ,2023,10068.531622804388,28649.244771494967,25,16681,10328
CA,2023,4793.540458309262,29203.155511716308,149,181755,20783
CO,2023,8271.591427978414,29698.839976415093,29,19272,8480
CT,2023,8523.573333333334,33183.199774266366,22,12000,1772
DC,2023,5292,12144,1,88,90
DE,2023,8874.649259983245,32747.03649222065,3,3581,3535
FL,2023,3225.8344461873758,15466.047742238947,44,72037,8504
FM,2023,4350,NA,1,541,0
GA,2023,5090.605816474707,21357.25854971501,51,50271,6316
GU,2023,5304,9979.2,2,390,10
HI,2023,6884.836751435603,29875.303326810175,10,3657,1533
IA,2023,6911.355659325342,21391.90383967666,19,14348,5938
ID,2023,5665.122888513513,21742.93973214286,8,4736,2688
IL,2023,11351.444850512968,28496.97729073145,60,22711,3787
IN,2023,8236.694572685303,30954.482901554406,16,27509,11580
KS,2023,6167.417738458107,17236.167959228893,33,13451,4513
KY,2023,8525.020569204062,24253.860085068278,24,19009,4467
LA,2023,5384.062670299728,9167.39675174014,30,25323,3017
MA,2023,7284.602876350011,28152.68772270813,29,18148,3087
MD,2023,8027.939713415993,24361.856833398975,29,13469,5078
ME,2023,7295.87343599615,26926.61134580567,14,4156,1657
MH,2023,4410,NA,1,290,0
MI,2023,14072.901042566673,43499.19614062913,47,34722,7566
MN,2023,9018.899984509733,26422.822984749455,40,19367,3672
MO,2023,7554.698408137463,21902.048154485456,28,17401,4091
MP,2023,3078,4560,1,282,1
MS,2023,6327.025626477542,20347.09698358152,23,10575,5238
MT,2023,5051.751850836304,25545.212804328225,18,3647,2218
NC,2023,3809.3403167197525,19900.068192219678,75,44582,6555
ND,2023,6986.1789627465305,12783.617254364943,14,4107,2921
NE,2023,5685.220182639978,18184.050583657587,16,10841,2056
NH,2023,11132.525226390686,30016.984956750657,12,3092,2659
NJ,2023,12336.248722917033,23869.31082750103,32,22708,2429
NM,2023,5237.816395663956,18643.921025641026,28,5904,1950
NV,2023,6180.73525308888,23246.64905889496,7,10036,1647
NY,2023,6327.645018748519,17335.36836136836,81,71739,5291
OH,2023,9492.888549986834,24346.763456842553,61,45572,9419
OK,2023,4690.136646721211,18156.26984474087,29,16378,4573
OR,2023,7987.273822845829,32128.264888337468,26,11617,4836
PA,2023,13111.343039072075,30409.784715366895,55,33451,12156
PR,2023,5163.55960338681,NA,19,8976,0
PW,2023,3120,3360,1,113,2
RI,2023,8309.876630151279,31199.85267034991,3,3834,2172
SC,2023,11118.954219082085,31424.93983371126,33,17409,6615
SD,2023,6245.720077560373,11258.390557939914,13,5673,1165
TN,2023,6562.387017758726,22669.917259786478,24,31027,4496
TX,2023,7280.747782607848,18518.886673361067,101,102598,6971
UT,2023,6051.457413443208,22315.127736625513,8,16261,6075
VA,2023,10472.516385154115,31115.721339088326,39,26701,9499
VI,2023,4631,13892,1,172,14
VT,2023,13126.06338028169,39424.92795389049,5,1136,2776
WA,2023,8270.795936770635,31072.325819244415,42,18852,4791
WI,2023,7106.891255658804,27029.336389044158,32,20985,8945
WV,2023,6925.19640943194,23244.88416879071,22,7464,3531
WY,2023,3420.186968838527,12561.976102941177,8,1765,1088
AK,2024,6953.571302037201,22368.821428571428,4,1129,252
AL,2024,7518.80918801927,28102.034750613246,38,28646,9784
AR,2024,5751.108276385725,22608.94924387276,35,13170,5753
AS,2024,4500,NA,1,144,0
AZ,2024,9595.43807516323,29183.351593541298,25,19451,11829
CA,2024,4665.913176021244,26270.770140815577,150,198459,19103
CO,2024,9067.843654720848,32031.264352011,29,20007,8727
CT,2024,8847.703435804702,34388.076886112445,11,12166,2081
DC,2024,5292,12144,1,135,78
DE,2024,9001.79679144385,34304.26480139895,3,3927,4003
FL,2024,3136.9445570541307,15425.192755905511,43,76962,9525
FM,2024,4350,NA,1,417,0
GA,2024,4995.029484275721,22806.71400651466,51,49891,6140
GU,2024,4219.69014084507,9464.727272727272,2,852,11
HI,2024,7091.874345549738,29788.58687258687,10,3820,1554
IA,2024,7075.0069570871265,22961.667300380228,19,15380,6838
ID,2024,6003.2544283413845,23178.11929543635,8,4968,2498
IL,2024,11409.192491551965,28448.356839872748,61,24266,3772
IN,2024,8396.536755957746,31730.321864111498,16,27737,11480
KS,2024,6493.6893560717435,18211.48894920512,33,13604,5158
KY,2024,8765.769328948014,25423.982839901942,24,20371,5303
LA,2024,5346.968645237625,9093.371551195585,30,25355,3262
MA,2024,7388.01038351161,30553.688964081208,29,19165,3842
MD,2024,8083.521243449936,24369.36327817179,29,14122,5076
ME,2024,6302.695812807881,26600.880057803468,14,4872,1384
MH,2024,4410,NA,1,263,0
MI,2024,14500.213851180082,44298.47752946955,47,35506,8144
MN,2024,9047.557440645529,25432.9532328137,40,19333,3913
MO,2024,8541.890829944441,22302.010185185187,28,17459,4320
MP,2024,3078,4560,1,308,1
MS,2024,5420.897127352091,21493.239323396418,23,16953,5971
MT,2024,5194.718415417559,27543.991133004925,18,3736,3045
NC,2024,3812.1773855050833,19741.395926075813,75,42884,7413
ND,2024,6933.764514514514,12775.908789386402,14,3996,3015
NE,2024,5804.649569449644,19170.643064985452,16,10684,2062
NH,2024,11181.116926134482,31200.76026392962,12,3019,2728
NJ,2024,12823.227673914787,24716.700470843898,32,24926,2761
NM,2024,5271.814489882553,19108.607270865334,28,7067,1953
NV,2024,6211.1779628565955,23590.550533584432,7,10446,1593
NY,2024,6336.850940665702,18141.171459576777,81,73937,5529
OH,2024,9824.932330827067,26272.71906132389,61,46018,9034
OK,2024,4823.249189552878,18615.34371184371,29,16349,4914
OR,2024,7811.575854404001,34041.676269102405,26,14396,5693
PA,2024,13076.231483422684,31414.870195241,55,33389,13112
PR,2024,5158.045184451597,NA,19,8078,0
PW,2024,3120,3360,1,93,2
RI,2024,8498.139434595112,32481.032520325203,3,4174,2214
SC,2024,11082.543092487147,31572.196058688147,33,18089,6952
SD,2024,6475.412548880199,11279.676547515257,13,5626,1147
TN,2024,6820.546327172999,23129.023509263585,24,32087,6423
TX,2024,7175.967353721622,19011.498141740358,101,111927,7803
UT,2024,6135.690243151739,22505.955815464586,8,16245,6156
VA,2024,9049.51037117904,32842.82676919879,39,40304,9623
VI,2024,4955,14864,1,199,24
VT,2024,12461.031639501438,38334.11586206897,3,1043,2900
WA,2024,7323.395435008152,31633.873954483563,42,26988,5141
WI,2024,6992.788287540467,28171.67652155079,32,24094,9234
WV,2024,7188.721774726,23863.085483055132,22,7573,3954
WY,2024,3793.6504998148835,15204.21052631579,8,2701,1254
AK,2025,6953.571302037201,22368.821428571428,4,1129,252
AL,2025,7518.80918801927,28102.034750613246,38,28646,9784
AR,2025,5751.108276385725,22608.94924387276,35,13170,5753
AS,2025,4500,NA,1,144,0
AZ,2025,9595.43807516323,29183.351593541298,25,19451,11829
CA,2025,4665.913176021244,26270.770140815577,150,198459,19103
CO,2025,9067.843654720848,32031.264352011,29,20007,8727
CT,2025,8847.703435804702,34388.076886112445,11,12166,2081
DC,2025,5292,12144,1,135,78
DE,2025,9001.79679144385,34304.26480139895,3,3927,4003
FL,2025,3136.9445570541307,15425.192755905511,43,76962,9525
FM,2025,4350,NA,1,417,0
GA,2025,4995.029484275721,22806.71400651466,51,49891,6140
GU,2025,4219.69014084507,9464.727272727272,2,852,11
HI,2025,7091.874345549738,29788.58687258687,10,3820,1554
IA,2025,7075.0069570871265,22961.667300380228,19,15380,6838
ID,2025,6003.2544283413845,23178.11929543635,8,4968,2498
IL,2025,11409.192491551965,28448.356839872748,61,24266,3772
IN,2025,8396.536755957746,31730.321864111498,16,27737,11480
KS,2025,6493.6893560717435,18211.48894920512,33,13604,5158
KY,2025,8765.769328948014,25423.982839901942,24,20371,5303
LA,2025,5346.968645237625,9093.371551195585,30,25355,3262
MA,2025,7388.01038351161,30553.688964081208,29,19165,3842
MD,2025,8083.521243449936,24369.36327817179,29,14122,5076
ME,2025,6302.695812807881,26600.880057803468,14,4872,1384
MH,2025,4410,NA,1,263,0
MI,2025,14500.213851180082,44298.47752946955,47,35506,8144
MN,2025,9047.557440645529,25432.9532328137,40,19333,3913
MO,2025,8541.890829944441,22302.010185185187,28,17459,4320
MP,2025,3078,4560,1,308,1
MS,2025,5420.897127352091,21493.239323396418,23,16953,5971
MT,2025,5194.718415417559,27543.991133004925,18,3736,3045
NC,2025,3812.1773855050833,19741.395926075813,75,42884,7413
ND,2025,6933.764514514514,12775.908789386402,14,3996,3015
NE,2025,5804.649569449644,19170.643064985452,16,10684,2062
NH,2025,11181.116926134482,31200.76026392962,12,3019,2728
NJ,2025,12823.227673914787,24716.700470843898,32,24926,2761
NM,2025,5271.814489882553,19108.607270865334,28,7067,1953
NV,2025,6211.1779628565955,23590.550533584432,7,10446,1593
NY,2025,6336.850940665702,18141.171459576777,81,73937,5529
OH,2025,9824.932330827067,26272.71906132389,61,46018,9034
OK,2025,4823.249189552878,18615.34371184371,29,16349,4914
OR,2025,7811.575854404001,34041.676269102405,26,14396,5693
PA,2025,13076.231483422684,31414.870195241,55,33389,13112
PR,2025,5158.045184451597,NA,19,8078,0
PW,2025,3120,3360,1,93,2
RI,2025,8498.139434595112,32481.032520325203,3,4174,2214
SC,2025,11082.543092487147,31572.196058688147,33,18089,6952
SD,2025,6475.412548880199,11279.676547515257,13,5626,1147
TN,2025,6820.546327172999,23129.023509263585,24,32087,6423
TX,2025,7175.967353721622,19011.498141740358,101,111927,7803
UT,2025,6135.690243151739,22505.955815464586,8,16245,6156
VA,2025,9049.51037117904,32842.82676919879,39,40304,9623
VI,2025,4955,14864,1,199,24
VT,2025,12461.031639501438,38334.11586206897,3,1043,2900
WA,2025,7323.395435008152,31633.873954483563,42,26988,5141
WI,2025,6992.788287540467,28171.67652155079,32,24094,9234
WV,2025,7188.721774726,23863.085483055132,22,7573,3954
WY,2025,3793.6504998148835,15204.21052631579,8,2701,1254
AK,2026,6953.571302037201,22368.821428571428,4,1129,252
AL,2026,7518.80918801927,28102.034750613246,38,28646,9784
AR,2026,5751.108276385725,22608.94924387276,35,13170,5753
AS,2026,4500,NA,1,144,0
AZ,2026,9595.43807516323,29183.351593541298,25,19451,11829
CA,2026,4665.913176021244,26270.770140815577,150,198459,19103
CO,2026,9067.843654720848,32031.264352011,29,20007,8727
CT,2026,8847.703435804702,34388.076886112445,11,12166,2081
DC,2026,5292,12144,1,135,78
DE,2026,9001.79679144385,34304.26480139895,3,3927,4003
FL,2026,3136.9445570541307,15425.192755905511,43,76962,9525
FM,2026,4350,NA,1,417,0
GA,2026,4995.029484275721,22806.71400651466,51,49891,6140
GU,2026,4219.69014084507,9464.727272727272,2,852,11
HI,2026,7091.874345549738,29788.58687258687,10,3820,1554
IA,2026,7075.0069570871265,22961.667300380228,19,15380,6838
ID,2026,6003.2544283413845,23178.11929543635,8,4968,2498
IL,2026,11409.192491551965,28448.356839872748,61,24266,3772
IN,2026,8396.536755957746,31730.321864111498,16,27737,11480
KS,2026,6493.6893560717435,18211.48894920512,33,13604,5158
KY,2026,8765.769328948014,25423.982839901942,24,20371,5303
LA,2026,5346.968645237625,9093.371551195585,30,25355,3262
MA,2026,7388.01038351161,30553.688964081208,29,19165,3842
MD,2026,8083.521243449936,24369.36327817179,29,14122,5076
ME,2026,6302.695812807881,26600.880057803468,14,4872,1384
MH,2026,4410,NA,1,263,0
MI,2026,14500.213851180082,44298.47752946955,47,35506,8144
MN,2026,9047.557440645529,25432.9532328137,40,19333,3913
MO,2026,8541.890829944441,22302.010185185187,28,17459,4320
MP,2026,3078,4560,1,308,1
MS,2026,5420.897127352091,21493.239323396418,23,16953,5971
MT,2026,5194.718415417559,27543.991133004925,18,3736,3045
NC,2026,3812.1773855050833,19741.395926075813,75,42884,7413
ND,2026,6933.764514514514,12775.908789386402,14,3996,3015
NE,2026,5804.649569449644,19170.643064985452,16,10684,2062
NH,2026,11181.116926134482,31200.76026392962,12,3019,2728
NJ,2026,12823.227673914787,24716.700470843898,32,24926,2761
NM,2026,5271.814489882553,19108.607270865334,28,7067,1953
NV,2026,6211.1779628565955,23590.550533584432,7,10446,1593
NY,2026,6336.850940665702,18141.171459576777,81,73937,5529
OH,2026,9824.932330827067,26272.71906132389,61,46018,9034
OK,2026,4823.249189552878,18615.34371184371,29,16349,4914
OR,2026,7811.575854404001,34041.676269102405,26,14396,5693
PA,2026,13076.231483422684,31414.870195241,55,33389,13112
PR,2026,5158.045184451597,NA,19,8078,0
PW,2026,3120,3360,1,93,2
RI,2026,8498.139434595112,32481.032520325203,3,4174,2214
SC,2026,11082.543092487147,31572.196058688147,33,18089,6952
SD,2026,6475.412548880199,11279.676547515257,13,5626,1147
TN,2026,6820.546327172999,23129.023509263585,24,32087,6423
TX,2026,7175.967353721622,19011.498141740358,101,111927,7803
UT,2026,6135.690243151739,22505.955815464586,8,16245,6156
VA,2026,9049.51037117904,32842.82676919879,39,40304,9623
VI,2026,4955,14864,1,199,24
VT,2026,12461.031639501438,38334.11586206897,3,1043,2900
WA,2026,7323.395435008152,31633.873954483563,42,26988,5141
WI,2026,6992.788287540467,28171.67652155079,32,24094,9234
WV,2026,7188.721774726,23863.085483055132,22,7573,3954
WY,2026,3793.6504998148835,15204.21052631579,8,2701,1254
