stabbr,year,weighted_in_state,weighted_out_of_state,inst_count,total_in_state_enr,total_out_state_enr
VA,2013,6613.656010771302,22103.75640208944,41,25995,7849
VI,2013,3990,11970,1,381,19
VT,2013,10252.705061082024,30443.766738660906,6,1719,2315
WA,2013,8539.575800711744,23810.083002907744,44,16860,3783
WI,2013,6660.883232580337,18480.161207450226,31,25144,6228
WV,2013,3989.5294667040253,14571.533317296127,26,10707,4157
WY,2013,2150.9124931205283,7612.305882352941,8,1817,1360
AK,2014,5187.422643211547,17304,5,2217,220
AL,2014,5583.450776177449,20758.531182485956,40,30341,6943
AR,2014,4464.901268512154,14535.45081967213,35,16003,3416
AS,2014,3300,3600,1,59,8
AZ,2014,8222.3760912903,20081.11909701037,28,14547,8195
CA,2014,4356.050333941901,18251.24484310539,145,173084,15998
CO,2014,5796.5222217083665,23093.48717105263,29,21623,6080
CT,2014,5176.649284757945,24085.50082372323,22,14191,1214
DC,2014,6635,13915,1,136,68
DE,2014,6474.79298587433,25181.330249768733,5,4106,3243
FL,2014,3219.612731769303,14335.598345825794,45,73187,3869
FM,2014,4230,NA,1,500,0
GA,2014,3997.5942593699965,19264.647575919018,58,51841,3754
GU,2014,4560,10480,2,478,15
HI,2014,4606.063799135624,18553.645933014355,10,4859,1254
IA,2014,5083.610303830911,16892.70782800441,19,17411,6349
ID,2014,4339.654133931912,15126.628361858191,8,5346,1227
IL,2014,9510.892765991386,21947.535653937142,60,25076,2959
IN,2014,6517.596828310057,27009.53311214333,17,34871,7535
KS,2014,4838.814977443609,13498.939170272333,33,16625,3929
KY,2014,6400.364644654893,18940.64722281793,24,23442,4663
LA,2014,4141.801189776733,9005.867839422643,33,27232,2217
MA,2014,1153.4091674383365,9450.414023960535,29,23758,2838
MD,2014,6209.836787775339,17263.550111358574,29,12303,4041
ME,2014,5761.318198329095,20680.251762336353,15,5506,993
MH,2014,4280,NA,1,320,0
MI,2014,9787.16856697364,31069.50941011236,47,41046,7120
MN,2014,7054.144626381847,15562.269735150425,43,24062,3889
MO,2014,5943.320209854015,17446.621300583854,29,21920,4967
MP,2014,2280,4560,1,285,3
MS,2014,4409.702988228192,14279.838620689656,24,13252,4350
MT,2014,4303.909363616885,18581.011699931176,17,4667,1453
NC,2014,3328.0434817138544,16556.382004310344,75,50366,5568
ND,2014,4651.723966118585,15192.513720316623,14,4014,3790
NE,2014,4342.3513391649385,13862.092279855247,15,11089,1658
NH,2014,9775.235565819861,22731.85888501742,12,4330,2870
NJ,2014,8457.185331815708,17399.300445103858,32,20207,1348
NM,2014,3885.829140958709,11935.432012042147,28,8428,1993
NV,2014,4710.601659751037,18001.995894909687,7,7712,1218
NY,2014,5181.230186566065,13359.697348160822,81,67858,5845
OH,2014,7357.643753329537,19930.60710620831,63,54437,7796
OK,2014,3388.735499650594,13839.222740170248,29,20034,4934
OR,2014,5848.475269364554,22863.059512652297,26,11787,4268
PA,2014,10081.38793124707,21752.074067022088,58,40551,10504
PR,2014,1691.5694554848967,3890.8275862068967,19,10064,58
PW,2014,2640,NA,1,185,0
RI,2014,6696.81626724764,25426.25222024867,3,4131,1689
SC,2014,8415.846083788707,17726.777476009414,33,16470,5523
SD,2014,3625.2870967741937,6293.292731829574,12,4340,1995
TN,2014,5252.326914168487,20895.62745098039,22,30222,2142
TX,2014,4863.271121822962,11563.775230818212,106,91280,6282
UT,2014,4490.148076923077,16473.44340535311,8,13520,3101
VA,2014,7115.541354241997,23396.57716467545,40,26273,8119
VI,2014,4190,12570,1,337,14
VT,2014,10490.544061302682,31720.1797752809,6,1566,2314
WA,2014,8584.258294930876,25498.84849322643,44,17360,3617
WI,2014,6649.15657401057,18656.562036508843,31,24787,7012
WV,2014,4817.665841584158,16539.10597572362,25,10504,4284
WY,2014,2220.206781545303,8108.125786163522,8,1799,1431
AK,2015,5353.185185185185,17808,4,2187,184
AL,2015,5675.949745943288,21685.625156532627,40,30505,7187
AR,2015,4677.927152746329,15788.632063882063,35,15457,3256
AS,2015,3300,3600,1,254,10
AZ,2015,8067.3415488026885,20826.5710641012,28,14282,9407
CA,2015,4152.457125740321,18442.336346649157,145,190289,19801
CO,2015,6222.615470852018,23970.603886168912,29,20516,6536
CT,2015,5485.6594693762345,25568.16242937853,22,14172,1416
DC,2015,4631,10613,1,171,70
DE,2015,6577.9152747518765,26083.418728468525,5,4131,3193
FL,2015,3207.3154425994344,14794.455586663273,47,73893,3929
FM,2015,4230,NA,1,342,0
GA,2015,4212.711094694687,19185.19897269532,56,51439,3699
GU,2015,4560,9068.57142857143,2,478,14
HI,2015,4995.340416489587,20068.8,10,4706,1420
IA,2015,5241.779992837532,17459.318686262748,19,16754,6668
ID,2015,4669.1034994697775,16044.026109660574,8,4715,1532
IL,2015,9949.566950872919,23628.92407008915,60,24630,3253
IN,2015,6804.525239451204,27191.99285087169,17,34767,7973
KS,2015,5104.863900314542,14482.445432692308,33,16532,4160
KY,2015,6885.925161173977,19602.31375218829,24,22181,5141
LA,2015,4637.442666666667,10863.379924953095,32,27750,2132
MA,2015,1163.629415194935,9897.897966464503,29,24008,2803
MD,2015,6414.734527555878,18119.127544763305,29,12393,4077
ME,2015,5589.103487276155,20855.28371278459,15,5305,1142
MH,2015,4280,NA,1,237,0
MI,2015,10213.223936488916,32062.528401953943,47,40056,7165
MN,2015,7157.774250813643,15761.740375360923,43,23659,4156
MO,2015,5939.560926438183,17757.56896892935,29,21329,5053
MP,2015,2280,NA,1,221,0
MS,2015,4514.09472718289,15514.368782161235,23,14167,4664
MT,2015,4331.454645048203,19368.44689119171,17,4564,1544
NC,2015,3318.0856114254066,18407.114912457237,76,50554,4969
ND,2015,4802.851262626263,15817.25747460087,14,3960,3445
NE,2015,4471.7148138130015,14700.537623762377,15,11091,2020
NH,2015,9560.423368022706,22937.658536585364,12,4228,2870
NJ,2015,8649.453164916265,16791.613693998308,32,21138,1183
NM,2015,3986.2184093161545,11469.165659617322,28,8072,1986
NV,2015,4874.780339655386,18303.71410891089,7,8067,1616
NY,2015,5296.825017983763,14542.509621993127,81,77848,5820
OH,2015,7581.879788139601,20774.49381790933,63,52865,8007
OK,2015,3572.3547234307025,13981.299717057396,30,19308,4948
OR,2015,6099.942997456809,23380.522599505286,26,11403,4447
PA,2015,10568.504017100317,22761.84432522431,58,40701,10811
PR,2015,1716.1756152125279,3892,19,9834,50
PW,2015,2640,NA,1,180,0
RI,2015,6878.187803561792,25236.54125412541,3,3706,1818
SC,2015,8785.672508549096,18336.88390918065,33,16376,5065
SD,2015,3533.0316189713826,6317.543284978942,12,4997,2137
TN,2015,5569.240733502704,21692.13251783894,22,30702,1962
TX,2015,5096.716994404476,11651.589414343876,106,93825,6386
UT,2015,4800.90784737221,17482.529883138563,8,12501,2995
VA,2015,7489.384037168543,24390.753984925243,40,26474,8093
VI,2015,4190,12570,1,278,23
VT,2015,10990.76772616137,33204.714346895074,6,1636,2335
WA,2015,8562.328709968426,26146.240141419636,44,17736,3677
WI,2015,6746.36454307443,18391.473046018993,31,24063,6845
WV,2015,5190.535938727416,17312.13159968479,23,10184,3807
WY,2015,2349.755610972569,8681.64907275321,8,1604,1402
AK,2016,5634.3443645083935,18704,4,2085,213
AL,2016,5954.306850412093,22853.121285334622,40,29969,8278
AR,2016,4954.7261833433195,16359.685666851134,35,15021,3614
AS,2016,3300,3600,1,271,51
AZ,2016,8295.80978872773,22317.033290142528,29,15099,10033
CA,2016,4156.632312820513,19282.601722184456,145,195000,22065
CO,2016,6563.226970227671,25006.4821802935,29,19985,6678
CT,2016,5825.24818813785,28688.202614379086,22,13522,1530
DC,2016,4631,10613,1,125,72
DE,2016,6777.682548179871,27409.669781931465,3,3736,3531
FL,2016,3086.2164181949897,14561.361660845945,47,78681,5154
FM,2016,4465,NA,1,418,0
GA,2016,4428.645752205356,20972.219188376752,54,50332,3992
GU,2016,4800,9720,2,437,8
HI,2016,5179.934837092732,21999.15906976744,10,4788,1075
IA,2016,5339.281777071621,17814.50462962963,19,16364,6480
ID,2016,4897.333695180199,17454.334028139656,8,4606,1919
IL,2016,10049.585487158582,23461.98326715825,60,24530,3526
IN,2016,7007.264876850243,27817.04289021567,16,33374,8207
KS,2016,5353.226361561709,15142.635435992579,33,16213,4312
KY,2016,7066.707199140401,21111.131161594512,24,22336,4666
LA,2016,5007.769430561568,11693.393236714976,32,25411,2070
MA,2016,2616.729363889484,16930.230124223603,29,23345,3220
MD,2016,6715.411891725148,18479.86606243706,29,12967,3972
ME,2016,5694.072,21943.12958435208,15,5000,1227
MH,2016,3500,NA,1,326,0
MI,2016,10659.193520907975,34261.42163925513,47,39913,7357
MN,2016,7320.421295279913,17195.29659643436,43,22775,3702
MO,2016,6046.467297801648,18012.418061430937,29,21971,5437
MP,2016,2280,NA,1,238,0
MS,2016,4644.530944625407,16386.70528865563,23,13508,4954
MT,2016,4366.664184008762,19999.39896073903,17,4565,1732
NC,2016,3506.386949388382,19234.168458080905,76,48151,5117
ND,2016,4967.318512936448,16217.45823244552,14,3981,3304
NE,2016,4672.126139132004,15083.889818002952,15,11083,2033
NH,2016,9855.168880455409,23973.39116202946,12,4216,3055
NJ,2016,9110.226071892594,18286.95733788396,32,20781,1172
NM,2016,4063.595009596929,12830.536878216124,28,7294,1749
NV,2016,4953.135169837749,18976.00051203277,7,8567,1953
NY,2016,5558.109100375902,15283.679362549801,81,78744,6275
OH,2016,7704.274383478989,21563.69108474991,63,51377,8177
OK,2016,3693.813698062377,14548.967760730238,30,19302,5149
OR,2016,6493.122065297139,24859.316237402014,26,10904,4465
PA,2016,10709.768035247409,23617.27193932828,58,41308,11076
PR,2016,1731.0015340364334,3892,19,10430,16
PW,2016,2640,NA,1,113,0
RI,2016,7278.850825785828,26036.433194154488,3,3754,1916
SC,2016,9059.491762111838,19421.4825136612,33,16327,5490
