stabbr,year,top_20,top_50,top_100,top_150
MA,2021,0,0,1,1
MA,2022,0,0,1,1
MA,2023,0,0,1,1
MA,2024,0,0,1,1
MD,2012,0,0,1,1
MD,2013,0,0,1,1
MD,2014,0,0,1,1
MD,2015,0,0,1,2
MD,2016,0,0,1,1
MD,2017,0,0,1,1
MD,2018,0,0,1,1
MD,2019,0,0,1,1
MD,2020,0,0,1,1
MD,2021,0,0,1,1
MD,2022,0,0,1,1
MD,2023,0,0,1,2
MD,2024,0,1,1,2
MI,2012,0,1,2,3
MI,2013,0,1,2,3
MI,2014,0,1,2,3
MI,2015,0,1,2,3
MI,2016,0,1,2,3
MI,2017,0,1,2,3
MI,2018,0,1,2,3
MI,2019,0,1,2,3
MI,2020,0,1,2,3
MI,2021,0,1,2,2
MI,2022,0,1,2,3
MI,2023,0,1,2,2
MI,2024,0,1,2,2
MN,2012,0,0,1,1
MN,2013,0,0,1,1
MN,2014,0,0,1,1
MN,2015,0,0,1,1
MN,2016,0,0,1,1
MN,2017,0,0,1,1
MN,2018,0,0,1,1
MN,2019,0,0,1,1
MN,2020,0,0,1,1
MN,2021,0,0,1,1
MN,2022,0,0,1,1
MN,2023,0,0,1,1
MN,2024,0,0,1,1
MO,2012,0,0,1,1
MO,2013,0,0,1,2
MO,2014,0,0,1,2
MO,2015,0,0,1,2
MO,2016,0,0,0,2
MO,2017,0,0,0,1
MO,2018,0,0,0,1
MO,2019,0,0,0,1
MO,2020,0,0,0,1
MO,2021,0,0,0,1
MO,2022,0,0,0,1
MO,2023,0,0,0,1
MO,2024,0,0,0,1
MS,2012,0,0,0,1
MS,2014,0,0,0,2
MS,2015,0,0,0,1
MS,2016,0,0,0,1
MS,2017,0,0,0,1
MS,2018,0,0,0,1
MS,2021,0,0,0,0
MS,2022,0,0,0,1
MS,2024,0,0,0,0
NC,2012,0,1,1,2
NC,2013,0,1,1,2
NC,2014,0,1,1,2
NC,2015,0,1,2,2
NC,2016,0,1,2,2
NC,2017,0,1,2,2
NC,2018,0,1,2,2
NC,2019,0,1,2,2
NC,2020,0,1,2,2
NC,2021,0,1,2,2
NC,2022,0,1,2,2
NC,2023,0,1,2,2
NC,2024,0,1,2,2
NE,2012,0,0,0,1
NE,2013,0,0,0,1
NE,2014,0,0,0,1
NE,2015,0,0,1,1
NE,2016,0,0,0,1
NE,2017,0,0,0,1
NE,2018,0,0,0,1
NE,2019,0,0,0,1
NE,2020,0,0,0,1
NE,2021,0,0,0,1
NE,2022,0,0,0,1
NE,2024,0,0,0,0
NH,2012,0,0,0,1
NH,2013,0,0,0,1
NH,2014,0,0,1,1
NH,2015,0,0,1,1
NH,2016,0,0,0,1
NH,2017,0,0,0,1
NH,2018,0,0,0,1
NH,2019,0,0,0,1
NH,2020,0,0,0,1
NH,2021,0,0,0,1
NH,2022,0,0,0,1
NH,2023,0,0,0,1
NH,2024,0,0,0,1
NJ,2012,0,0,1,3
