ZCTA,year,Real_GDP_per_capita_ZCTA,Unemployment_Rate_ZCTA
01007,2016,45775.14774648061,4.0
01007,2017,47051.86931210057,3.7
01007,2018,47470.60059837302,3.2
01007,2019,48240.00887141986,2.9
01007,2020,50701.61990456898,7.7
01007,2021,46128.976367458454,4.8
01007,2022,46779.119331064045,3.5
01007,2023,47624.548845406374,3.2
01007,2024,48590.28168247692,3.8
01007,2025,48590.28168247692,3.8
01007,2026,48590.28168247692,3.8
01008,2012,47066.904986322086,8.536159999999999
01008,2013,47330.539805427215,8.536159999999999
01008,2014,47225.73211337625,7.546799999999999
01008,2015,48309.110281723784,6.3468
01008,2016,48460.16754070045,5.4468
01008,2017,47673.34497313896,5.25212
01008,2018,47947.99600448552,4.85744
01008,2019,49095.01871351364,4.262759999999999
01008,2020,48660.0745528539,10.830839999999998
01008,2021,50665.70085640478,6.762759999999999
01008,2022,50420.11269556786,4.768079999999999
01008,2023,50702.610491275846,4.45744
01008,2024,51312.72498867119,5.041479999999999
01008,2025,51312.72498867119,5.041479999999999
01008,2026,51312.72498867119,5.041479999999999
01009,2012,46638.46311887651,8.6
01009,2013,46887.48964091348,8.6
01009,2014,46737.251931783365,7.6
01009,2015,47850.054913245585,6.4
01009,2016,48025.631339808395,5.5
01009,2017,47305.61860127468,5.3
01009,2018,47556.85527805556,4.9
01009,2019,48816.52362813696,4.3
01009,2020,48444.87119215723,10.9
01009,2021,50514.030347570464,6.8
01009,2022,50165.95657073509,4.8
01009,2023,50458.69975418066,4.5
01009,2024,51050.884302737686,5.1
01009,2025,51050.884302737686,5.1
01009,2026,51050.884302737686,5.1
01010,2012,46651.64094848606,8.59356
01010,2013,46900.67312814482,8.5931
01010,2014,46751.45192117926,7.593099999999999
01010,2015,47862.85948274734,6.39402
01010,2016,48038.12911904648,5.494019999999999
01010,2017,47318.38785068301,5.29402
01010,2018,47571.40242910067,4.89402
01010,2019,48827.362905403024,4.2954
01010,2020,48454.65921224934,10.89172
01010,2021,50527.29222331549,6.793559999999999
01010,2022,50183.596815505,4.7954
01010,2023,50475.83046660209,4.4958599999999995
01010,2024,51067.47074926115,5.0954
01010,2025,51067.47074926115,5.0954
01010,2026,51067.47074926115,5.0954
01011,2012,46120.15338485661,8.22928
01011,2013,46376.897874907925,8.25576
01011,2014,46253.3760330788,7.2954799999999995
01011,2015,47502.45957552583,6.14844
01011,2016,47727.667312051795,5.3014
01011,2017,47272.022195388025,5.08816
01011,2018,47545.43515846559,4.67492
01011,2019,48740.19307434761,4.11464
01011,2020,48743.66472168055,10.476320000000001
01011,2021,49933.44920060364,6.5352
01011,2022,49717.539320202646,4.62788
01011,2023,50083.45817385895,4.32788
01011,2024,50725.10051581516,4.92788
01011,2025,50725.10051581516,4.92788
01011,2026,50725.10051581516,4.92788
01012,2012,42723.73703111288,5.8
01012,2013,43031.05636292588,6.0
01012,2014,43082.60012887875,5.3
01012,2015,45224.712483337986,4.5
01012,2016,45775.14774648061,4.0
01012,2017,47051.86931210057,3.7
01012,2018,47470.60059837302,3.2
01012,2019,48240.00887141986,2.9
01012,2020,50701.61990456898,7.7
01012,2021,46128.976367458454,4.8
01012,2022,46779.119331064045,3.5
